icd10_code,short_desc,long_desc,description,category_code,category_desc,includes,excludes1,excludes2,code_first,use_additional,is_billable,is_chronic
B06.82,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,B06,,,,,,,True,True
B18.0,Chronic Hepatitis,Chronic Hepatitis,Chronic Hepatitis,B18,,,,,,,True,True
B18.1,Chronic Hepatitis,Chronic Hepatitis,Chronic Hepatitis,B18,,,,,,,True,True
B18.2,Chronic Hepatitis,Chronic Hepatitis,Chronic Hepatitis,B18,,,,,,,True,True
B18.8,Chronic Hepatitis,Chronic Hepatitis,Chronic Hepatitis,B18,,,,,,,True,True
B18.9,Chronic Hepatitis,Chronic Hepatitis,Chronic Hepatitis,B18,,,,,,,True,True
B20,HIV/AIDS,HIV/AIDS,HIV/AIDS,B20,,,,,,,True,True
B25.0,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B25,,,,,,,True,True
B25.1,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B25,,,,,,,True,True
B25.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B25,,,,,,,True,True
B25.8,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B25,,,,,,,True,True
B25.9,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B25,,,,,,,True,True
B26.85,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,B26,,,,,,,True,True
B33.24,Cardiomyopathy/Myocarditis,Cardiomyopathy/Myocarditis,Cardiomyopathy/Myocarditis,B33,,,,,,,True,True
B37.1,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B37,,,,,,,True,True
B37.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock; Opportunistic Infections","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock; Opportunistic Infections","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock; Opportunistic Infections",B37,,,,,,,True,True
B37.81,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B37,,,,,,,True,True
B42.82,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,B42,,,,,,,True,True
B44.0,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B44.1,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B44.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B44.7,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B44.81,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders","Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders","Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",B44,,,,,,,True,True
B44.89,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B44.9,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B44,,,,,,,True,True
B45.0,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.1,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.3,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.7,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.8,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B45.9,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B45,,,,,,,True,True
B46.0,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.1,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.3,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.4,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.5,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.8,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B46.9,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B46,,,,,,,True,True
B48.4,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B48,,,,,,,True,True
B48.8,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B48,,,,,,,True,True
B58.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B58,,,,,,,True,True
B58.3,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B58,,,,,,,True,True
B59,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,B59,,,,,,,True,True
B97.35,HIV/AIDS,HIV/AIDS,HIV/AIDS,B97,,,,,,,True,True
C01,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C01,,,,,,,True,True
C02.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.3,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.4,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C02.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C02,,,,,,,True,True
C03.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C03,,,,,,,True,True
C03.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C03,,,,,,,True,True
C03.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C03,,,,,,,True,True
C04.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C04,,,,,,,True,True
C04.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C04,,,,,,,True,True
C04.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C04,,,,,,,True,True
C04.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C04,,,,,,,True,True
C05.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C05,,,,,,,True,True
