hcc_code,segment,coefficient,coefficient_community_nondual_aged,hcc_description
HCC 1,Community_FullDual_Aged,0.397,,HIV/AIDS
HCC 107,Community_FullDual_Aged,0.61,,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
HCC 108,Community_FullDual_Aged,0.103,,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC 109,Community_FullDual_Aged,1.048,,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
HCC 111,Community_FullDual_Aged,15.539,,"Hemophilia, Male"
HCC 112,Community_FullDual_Aged,0.46,,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
HCC 114,Community_FullDual_Aged,2.016,,Common Variable and Combined Immunodeficiencies
HCC 115,Community_FullDual_Aged,0.438,,Specified Immunodeficiencies and White Blood Cell Disorders
HCC 125,Community_FullDual_Aged,0.438,,"Dementia, Severe"
HCC 126,Community_FullDual_Aged,0.438,,"Dementia, Moderate"
HCC 127,Community_FullDual_Aged,0.438,,"Dementia, Mild or Unspecified"
HCC 135,Community_FullDual_Aged,0.702,,Drug Use with Psychotic Complications
HCC 136,Community_FullDual_Aged,0.502,,Alcohol Use with Psychotic Complications
HCC 137,Community_FullDual_Aged,0.502,,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
HCC 138,Community_FullDual_Aged,0.502,,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
HCC 139,Community_FullDual_Aged,0.478,,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
HCC 151,Community_FullDual_Aged,0.591,,Schizophrenia
HCC 152,Community_FullDual_Aged,0.579,,"Psychosis, Except Schizophrenia"
HCC 153,Community_FullDual_Aged,0.42,,Personality Disorders; Anorexia/Bulimia Nervosa
HCC 154,Community_FullDual_Aged,0.349,,Bipolar Disorders without Psychosis
HCC 155,Community_FullDual_Aged,0.316,,"Major Depression, Moderate or Severe, without Psychosis"
HCC 17,Community_FullDual_Aged,3.896,,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
HCC 18,Community_FullDual_Aged,2.277,,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
HCC 180,Community_FullDual_Aged,1.068,,Quadriplegia
HCC 181,Community_FullDual_Aged,0.859,,Paraplegia
HCC 182,Community_FullDual_Aged,0.402,,Spinal Cord Disorders/Injuries
HCC 19,Community_FullDual_Aged,1.563,,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
HCC 190,Community_FullDual_Aged,1.427,,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
HCC 191,Community_FullDual_Aged,0.393,,Quadriplegic Cerebral Palsy
HCC 192,Community_FullDual_Aged,0.0,,"Cerebral Palsy, Except Quadriplegic"
HCC 193,Community_FullDual_Aged,0.957,,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
HCC 195,Community_FullDual_Aged,2.153,,Myasthenia Gravis with (Acute) Exacerbation
HCC 196,Community_FullDual_Aged,0.503,,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
HCC 197,Community_FullDual_Aged,0.369,,Muscular Dystrophy
HCC 198,Community_FullDual_Aged,0.791,,Multiple Sclerosis
HCC 199,Community_FullDual_Aged,0.634,,Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 2,Community_FullDual_Aged,0.649,,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
HCC 20,Community_FullDual_Aged,1.166,,Lung and Other Severe Cancers
HCC 200,Community_FullDual_Aged,0.165,,Friedreich and Other Hereditary Ataxias; Huntington Disease
HCC 201,Community_FullDual_Aged,0.233,,Seizure Disorders and Convulsions
HCC 202,Community_FullDual_Aged,0.721,,"Coma, Brain Compression/Anoxic Damage"
HCC 21,Community_FullDual_Aged,0.654,,Lymphoma and Other Cancers
HCC 211,Community_FullDual_Aged,1.981,,Respirator Dependence/Tracheostomy Status/Complications
HCC 212,Community_FullDual_Aged,0.573,,Respiratory Arrest
HCC 213,Community_FullDual_Aged,0.573,,Cardio-Respiratory Failure and Shock
HCC 22,Community_FullDual_Aged,0.382,,"Bladder, Colorectal, and Other Cancers"
HCC 221,Community_FullDual_Aged,1.412,,Heart Transplant Status/Complications
HCC 222,Community_FullDual_Aged,2.927,,End-Stage Heart Failure
HCC 223,Community_FullDual_Aged,2.927,,Heart Failure with Heart Assist Device/Artificial Heart
HCC 224,Community_FullDual_Aged,0.406,,Acute on Chronic Heart Failure
HCC 225,Community_FullDual_Aged,0.406,,Acute Heart Failure (Excludes Acute on Chronic)
HCC 226,Community_FullDual_Aged,0.406,,"Heart Failure, Except End-Stage and Acute"
HCC 227,Community_FullDual_Aged,0.173,,Cardiomyopathy/Myocarditis
HCC 228,Community_FullDual_Aged,0.493,,Acute Myocardial Infarction
HCC 229,Community_FullDual_Aged,0.325,,Unstable Angina and Other Acute Ischemic Heart Disease
HCC 23,Community_FullDual_Aged,0.196,,"Prostate, Breast, and Other Cancers and Tumors"
HCC 238,Community_FullDual_Aged,0.407,,Specified Heart Arrhythmias
HCC 248,Community_FullDual_Aged,0.377,,Intracranial Hemorrhage
HCC 249,Community_FullDual_Aged,0.377,,Ischemic or Unspecified Stroke
HCC 253,Community_FullDual_Aged,0.437,,Hemiplegia/Hemiparesis
HCC 254,Community_FullDual_Aged,0.292,,"Monoplegia, Other Paralytic Syndromes"
HCC 263,Community_FullDual_Aged,1.432,,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene
HCC 264,Community_FullDual_Aged,0.498,,Vascular Disease with Complications
HCC 267,Community_FullDual_Aged,0.445,,Deep Vein Thrombosis and Pulmonary Embolism
HCC 276,Community_FullDual_Aged,2.21,,Lung Transplant Status/Complications
HCC 277,Community_FullDual_Aged,1.34,,Cystic Fibrosis
HCC 278,Community_FullDual_Aged,0.791,,Idiopathic Pulmonary Fibrosis and Lung Involvement in Systemic Sclerosis
HCC 279,Community_FullDual_Aged,0.594,,Severe Persistent Asthma
HCC 280,Community_FullDual_Aged,0.39,,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders"
HCC 282,Community_FullDual_Aged,0.538,,Aspiration and Specified Bacterial Pneumonias
HCC 283,Community_FullDual_Aged,0.131,,"Empyema, Lung Abscess"
HCC 298,Community_FullDual_Aged,0.323,,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage"
HCC 300,Community_FullDual_Aged,0.37,,Exudative Macular Degeneration
HCC 326,Community_FullDual_Aged,0.985,,"Chronic Kidney Disease, Stage 5"
HCC 327,Community_FullDual_Aged,0.565,,"Chronic Kidney Disease, Severe (Stage 4)"
HCC 328,Community_FullDual_Aged,0.116,,"Chronic Kidney Disease, Moderate (Stage 3B)"
HCC 329,Community_FullDual_Aged,0.116,,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
HCC 35,Community_FullDual_Aged,1.117,,Pancreas Transplant Status
HCC 36,Community_FullDual_Aged,0.186,,Diabetes with Severe Acute Complications
HCC 37,Community_FullDual_Aged,0.186,,Diabetes with Chronic Complications
HCC 379,Community_FullDual_Aged,2.58,,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
HCC 38,Community_FullDual_Aged,0.186,,"Diabetes with Glycemic, Unspecified, or No Complications"
HCC 380,Community_FullDual_Aged,1.422,,"Chronic Ulcer of Skin, Except Pressure, Through to Bone or Muscle"
HCC 381,Community_FullDual_Aged,1.379,,Pressure Ulcer of Skin with Full Thickness Skin Loss
HCC 382,Community_FullDual_Aged,1.029,,Pressure Ulcer of Skin with Partial Thickness Skin Loss
HCC 383,Community_FullDual_Aged,0.89,,"Chronic Ulcer of Skin, Except Pressure, Not Specified as Through to Bone or Muscle"
HCC 385,Community_FullDual_Aged,2.362,,Severe Skin Burn
HCC 387,Community_FullDual_Aged,0.658,,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders"
HCC 397,Community_FullDual_Aged,0.349,,Major Head Injury with Loss of Consciousness > 1 Hour
HCC 398,Community_FullDual_Aged,0.349,,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
HCC 399,Community_FullDual_Aged,0.349,,Major Head Injury without Loss of Consciousness
HCC 401,Community_FullDual_Aged,0.622,,Vertebral Fractures without Spinal Cord Injury
HCC 402,Community_FullDual_Aged,0.561,,Hip Fracture/Dislocation
HCC 405,Community_FullDual_Aged,0.799,,Traumatic Amputations and Complications
HCC 409,Community_FullDual_Aged,0.799,,"Amputation Status, Lower Limb/Amputation Complications"
HCC 454,Community_FullDual_Aged,1.326,,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
HCC 463,Community_FullDual_Aged,0.891,,Artificial Openings for Feeding or Elimination
HCC 48,Community_FullDual_Aged,0.3,,Morbid Obesity
HCC 49,Community_FullDual_Aged,2.833,,Specified Lysosomal Storage Disorders
HCC 50,Community_FullDual_Aged,0.555,,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
HCC 51,Community_FullDual_Aged,0.634,,"Addisons and Cushings Diseases, Acromegaly, and Other Specified Endocrine Disorders"
HCC 6,Community_FullDual_Aged,0.588,,Opportunistic Infections
HCC 62,Community_FullDual_Aged,0.261,,Liver Transplant Status/Complications
HCC 63,Community_FullDual_Aged,1.102,,Chronic Liver Failure/End-Stage Liver Disorders
HCC 64,Community_FullDual_Aged,0.475,,Cirrhosis of Liver
HCC 65,Community_FullDual_Aged,0.101,,Chronic Hepatitis
HCC 68,Community_FullDual_Aged,0.085,,Cholangitis and Obstruction of Bile Duct Without Gallstones
HCC 77,Community_FullDual_Aged,5.039,,Intestine Transplant Status/Complications
HCC 78,Community_FullDual_Aged,0.382,,Intestinal Obstruction/Perforation
HCC 79,Community_FullDual_Aged,0.525,,Chronic Pancreatitis
HCC 80,Community_FullDual_Aged,0.49,,Crohns Disease (Regional Enteritis)
HCC 81,Community_FullDual_Aged,0.201,,Ulcerative Colitis
HCC 92,Community_FullDual_Aged,0.611,,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis
HCC 93,Community_FullDual_Aged,0.439,,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
HCC 94,Community_FullDual_Aged,0.237,,Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders
HCC 238,cfa_hf,0.14,,Specified Heart Arrhythmias
HCC 1,Community_FullDual_Disabled,0.237,,HIV/AIDS
HCC 107,Community_FullDual_Disabled,1.939,,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
HCC 108,Community_FullDual_Disabled,0.408,,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC 109,Community_FullDual_Disabled,1.541,,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
HCC 111,Community_FullDual_Disabled,31.424,,"Hemophilia, Male"
HCC 112,Community_FullDual_Disabled,0.634,,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
HCC 114,Community_FullDual_Disabled,2.67,,Common Variable and Combined Immunodeficiencies
HCC 115,Community_FullDual_Disabled,0.498,,Specified Immunodeficiencies and White Blood Cell Disorders
HCC 125,Community_FullDual_Disabled,0.367,,"Dementia, Severe"
HCC 126,Community_FullDual_Disabled,0.367,,"Dementia, Moderate"
HCC 127,Community_FullDual_Disabled,0.367,,"Dementia, Mild or Unspecified"
HCC 135,Community_FullDual_Disabled,1.181,,Drug Use with Psychotic Complications
HCC 136,Community_FullDual_Disabled,1.181,,Alcohol Use with Psychotic Complications
HCC 137,Community_FullDual_Disabled,0.471,,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
HCC 138,Community_FullDual_Disabled,0.384,,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
HCC 139,Community_FullDual_Disabled,0.25,,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
HCC 151,Community_FullDual_Disabled,0.414,,Schizophrenia
HCC 152,Community_FullDual_Disabled,0.255,,"Psychosis, Except Schizophrenia"
HCC 153,Community_FullDual_Disabled,0.255,,Personality Disorders; Anorexia/Bulimia Nervosa
HCC 154,Community_FullDual_Disabled,0.126,,Bipolar Disorders without Psychosis
HCC 155,Community_FullDual_Disabled,0.126,,"Major Depression, Moderate or Severe, without Psychosis"
HCC 17,Community_FullDual_Disabled,4.235,,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
HCC 18,Community_FullDual_Disabled,2.537,,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
HCC 180,Community_FullDual_Disabled,1.095,,Quadriplegia
HCC 181,Community_FullDual_Disabled,0.832,,Paraplegia
HCC 182,Community_FullDual_Disabled,0.308,,Spinal Cord Disorders/Injuries
HCC 19,Community_FullDual_Disabled,1.661,,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
HCC 190,Community_FullDual_Disabled,3.642,,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
HCC 191,Community_FullDual_Disabled,0.466,,Quadriplegic Cerebral Palsy
HCC 192,Community_FullDual_Disabled,0.067,,"Cerebral Palsy, Except Quadriplegic"
HCC 193,Community_FullDual_Disabled,0.939,,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
HCC 195,Community_FullDual_Disabled,3.323,,Myasthenia Gravis with (Acute) Exacerbation
HCC 196,Community_FullDual_Disabled,0.507,,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
HCC 197,Community_FullDual_Disabled,0.681,,Muscular Dystrophy
HCC 198,Community_FullDual_Disabled,1.143,,Multiple Sclerosis
HCC 199,Community_FullDual_Disabled,0.504,,Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 2,Community_FullDual_Disabled,0.78,,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
HCC 20,Community_FullDual_Disabled,1.173,,Lung and Other Severe Cancers
HCC 200,Community_FullDual_Disabled,0.281,,Friedreich and Other Hereditary Ataxias; Huntington Disease
HCC 201,Community_FullDual_Disabled,0.17,,Seizure Disorders and Convulsions
HCC 202,Community_FullDual_Disabled,0.279,,"Coma, Brain Compression/Anoxic Damage"
HCC 21,Community_FullDual_Disabled,0.739,,Lymphoma and Other Cancers
HCC 211,Community_FullDual_Disabled,1.418,,Respirator Dependence/Tracheostomy Status/Complications
HCC 212,Community_FullDual_Disabled,0.662,,Respiratory Arrest
HCC 213,Community_FullDual_Disabled,0.662,,Cardio-Respiratory Failure and Shock
HCC 22,Community_FullDual_Disabled,0.409,,"Bladder, Colorectal, and Other Cancers"
HCC 221,Community_FullDual_Disabled,1.781,,Heart Transplant Status/Complications
HCC 222,Community_FullDual_Disabled,6.612,,End-Stage Heart Failure
HCC 223,Community_FullDual_Disabled,6.612,,Heart Failure with Heart Assist Device/Artificial Heart
HCC 224,Community_FullDual_Disabled,0.537,,Acute on Chronic Heart Failure
HCC 225,Community_FullDual_Disabled,0.537,,Acute Heart Failure (Excludes Acute on Chronic)
HCC 226,Community_FullDual_Disabled,0.537,,"Heart Failure, Except End-Stage and Acute"
HCC 227,Community_FullDual_Disabled,0.198,,Cardiomyopathy/Myocarditis
HCC 228,Community_FullDual_Disabled,0.517,,Acute Myocardial Infarction
HCC 229,Community_FullDual_Disabled,0.458,,Unstable Angina and Other Acute Ischemic Heart Disease
HCC 23,Community_FullDual_Disabled,0.218,,"Prostate, Breast, and Other Cancers and Tumors"
HCC 238,Community_FullDual_Disabled,0.304,,Specified Heart Arrhythmias
HCC 248,Community_FullDual_Disabled,0.332,,Intracranial Hemorrhage
HCC 249,Community_FullDual_Disabled,0.277,,Ischemic or Unspecified Stroke
HCC 253,Community_FullDual_Disabled,0.39,,Hemiplegia/Hemiparesis
HCC 254,Community_FullDual_Disabled,0.365,,"Monoplegia, Other Paralytic Syndromes"
HCC 263,Community_FullDual_Disabled,1.276,,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene
HCC 264,Community_FullDual_Disabled,0.461,,Vascular Disease with Complications
HCC 267,Community_FullDual_Disabled,0.568,,Deep Vein Thrombosis and Pulmonary Embolism
HCC 276,Community_FullDual_Disabled,2.292,,Lung Transplant Status/Complications
HCC 277,Community_FullDual_Disabled,3.76,,Cystic Fibrosis
HCC 278,Community_FullDual_Disabled,1.64,,Idiopathic Pulmonary Fibrosis and Lung Involvement in Systemic Sclerosis
HCC 279,Community_FullDual_Disabled,0.808,,Severe Persistent Asthma
HCC 280,Community_FullDual_Disabled,0.281,,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders"
HCC 282,Community_FullDual_Disabled,0.269,,Aspiration and Specified Bacterial Pneumonias
HCC 283,Community_FullDual_Disabled,0.074,,"Empyema, Lung Abscess"
HCC 298,Community_FullDual_Disabled,0.319,,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage"
HCC 300,Community_FullDual_Disabled,0.255,,Exudative Macular Degeneration
HCC 326,Community_FullDual_Disabled,0.946,,"Chronic Kidney Disease, Stage 5"
HCC 327,Community_FullDual_Disabled,0.661,,"Chronic Kidney Disease, Severe (Stage 4)"
HCC 328,Community_FullDual_Disabled,0.181,,"Chronic Kidney Disease, Moderate (Stage 3B)"
HCC 329,Community_FullDual_Disabled,0.181,,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
HCC 35,Community_FullDual_Disabled,0.573,,Pancreas Transplant Status
HCC 36,Community_FullDual_Disabled,0.235,,Diabetes with Severe Acute Complications
HCC 37,Community_FullDual_Disabled,0.235,,Diabetes with Chronic Complications
HCC 379,Community_FullDual_Disabled,2.57,,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
HCC 38,Community_FullDual_Disabled,0.235,,"Diabetes with Glycemic, Unspecified, or No Complications"
HCC 380,Community_FullDual_Disabled,1.285,,"Chronic Ulcer of Skin, Except Pressure, Through to Bone or Muscle"
HCC 381,Community_FullDual_Disabled,1.192,,Pressure Ulcer of Skin with Full Thickness Skin Loss
HCC 382,Community_FullDual_Disabled,0.935,,Pressure Ulcer of Skin with Partial Thickness Skin Loss
HCC 383,Community_FullDual_Disabled,0.707,,"Chronic Ulcer of Skin, Except Pressure, Not Specified as Through to Bone or Muscle"
HCC 385,Community_FullDual_Disabled,0.857,,Severe Skin Burn
HCC 387,Community_FullDual_Disabled,0.622,,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders"
HCC 397,Community_FullDual_Disabled,0.19,,Major Head Injury with Loss of Consciousness > 1 Hour
HCC 398,Community_FullDual_Disabled,0.19,,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
HCC 399,Community_FullDual_Disabled,0.19,,Major Head Injury without Loss of Consciousness
HCC 401,Community_FullDual_Disabled,0.559,,Vertebral Fractures without Spinal Cord Injury
HCC 402,Community_FullDual_Disabled,0.57,,Hip Fracture/Dislocation
HCC 405,Community_FullDual_Disabled,0.844,,Traumatic Amputations and Complications
HCC 409,Community_FullDual_Disabled,0.844,,"Amputation Status, Lower Limb/Amputation Complications"
HCC 454,Community_FullDual_Disabled,0.608,,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
HCC 463,Community_FullDual_Disabled,0.947,,Artificial Openings for Feeding or Elimination
HCC 48,Community_FullDual_Disabled,0.178,,Morbid Obesity
HCC 49,Community_FullDual_Disabled,6.399,,Specified Lysosomal Storage Disorders
HCC 50,Community_FullDual_Disabled,0.789,,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
HCC 51,Community_FullDual_Disabled,0.654,,"Addisons and Cushings Diseases, Acromegaly, and Other Specified Endocrine Disorders"
HCC 6,Community_FullDual_Disabled,0.833,,Opportunistic Infections
HCC 62,Community_FullDual_Disabled,0.409,,Liver Transplant Status/Complications
HCC 63,Community_FullDual_Disabled,1.209,,Chronic Liver Failure/End-Stage Liver Disorders
HCC 64,Community_FullDual_Disabled,0.414,,Cirrhosis of Liver
HCC 65,Community_FullDual_Disabled,0.22,,Chronic Hepatitis
HCC 68,Community_FullDual_Disabled,0.354,,Cholangitis and Obstruction of Bile Duct Without Gallstones
HCC 77,Community_FullDual_Disabled,6.161,,Intestine Transplant Status/Complications
HCC 78,Community_FullDual_Disabled,0.548,,Intestinal Obstruction/Perforation
HCC 79,Community_FullDual_Disabled,0.799,,Chronic Pancreatitis
HCC 80,Community_FullDual_Disabled,0.651,,Crohns Disease (Regional Enteritis)
HCC 81,Community_FullDual_Disabled,0.286,,Ulcerative Colitis
HCC 92,Community_FullDual_Disabled,0.632,,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis
HCC 93,Community_FullDual_Disabled,0.384,,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
HCC 94,Community_FullDual_Disabled,0.25,,Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders
HCC 238,cfd_hf,0.372,,Specified Heart Arrhythmias
HCC 1,Community_NonDual_Aged,0.301,0.301,HIV/AIDS
HCC 107,Community_NonDual_Aged,0.457,0.457,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
HCC 108,Community_NonDual_Aged,0.146,0.146,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC 109,Community_NonDual_Aged,1.144,1.144,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
HCC 111,Community_NonDual_Aged,4.639,4.639,"Hemophilia, Male"
HCC 112,Community_NonDual_Aged,0.45,0.45,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
HCC 114,Community_NonDual_Aged,2.262,2.262,Common Variable and Combined Immunodeficiencies
HCC 115,Community_NonDual_Aged,0.565,0.565,Specified Immunodeficiencies and White Blood Cell Disorders
HCC 125,Community_NonDual_Aged,0.341,0.341,"Dementia, Severe"
HCC 126,Community_NonDual_Aged,0.341,0.341,"Dementia, Moderate"
HCC 127,Community_NonDual_Aged,0.341,0.341,"Dementia, Mild or Unspecified"
HCC 135,Community_NonDual_Aged,0.424,0.424,Drug Use with Psychotic Complications
HCC 136,Community_NonDual_Aged,0.424,0.424,Alcohol Use with Psychotic Complications
HCC 137,Community_NonDual_Aged,0.424,0.424,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
HCC 138,Community_NonDual_Aged,0.423,0.423,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
HCC 139,Community_NonDual_Aged,0.242,0.242,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
HCC 151,Community_NonDual_Aged,0.511,0.511,Schizophrenia
HCC 152,Community_NonDual_Aged,0.484,0.484,"Psychosis, Except Schizophrenia"
HCC 153,Community_NonDual_Aged,0.396,0.396,Personality Disorders; Anorexia/Bulimia Nervosa
HCC 154,Community_NonDual_Aged,0.351,0.351,Bipolar Disorders without Psychosis
HCC 155,Community_NonDual_Aged,0.299,0.299,"Major Depression, Moderate or Severe, without Psychosis"
HCC 17,Community_NonDual_Aged,4.209,4.209,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
HCC 18,Community_NonDual_Aged,2.341,2.341,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
HCC 180,Community_NonDual_Aged,1.125,1.125,Quadriplegia
HCC 181,Community_NonDual_Aged,0.942,0.942,Paraplegia
HCC 182,Community_NonDual_Aged,0.478,0.478,Spinal Cord Disorders/Injuries
HCC 19,Community_NonDual_Aged,1.798,1.798,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
HCC 190,Community_NonDual_Aged,1.175,1.175,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
HCC 191,Community_NonDual_Aged,0.855,0.855,Quadriplegic Cerebral Palsy
HCC 192,Community_NonDual_Aged,0.314,0.314,"Cerebral Palsy, Except Quadriplegic"
HCC 193,Community_NonDual_Aged,1.692,1.692,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
HCC 195,Community_NonDual_Aged,2.909,2.909,Myasthenia Gravis with (Acute) Exacerbation
HCC 196,Community_NonDual_Aged,0.516,0.516,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
HCC 197,Community_NonDual_Aged,0.426,0.426,Muscular Dystrophy
HCC 198,Community_NonDual_Aged,0.647,0.647,Multiple Sclerosis
HCC 199,Community_NonDual_Aged,0.615,0.615,Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 2,Community_NonDual_Aged,0.5,0.5,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
HCC 20,Community_NonDual_Aged,1.136,1.136,Lung and Other Severe Cancers
HCC 200,Community_NonDual_Aged,0.279,0.279,Friedreich and Other Hereditary Ataxias; Huntington Disease
HCC 201,Community_NonDual_Aged,0.245,0.245,Seizure Disorders and Convulsions
HCC 202,Community_NonDual_Aged,0.543,0.543,"Coma, Brain Compression/Anoxic Damage"
HCC 21,Community_NonDual_Aged,0.671,0.671,Lymphoma and Other Cancers
HCC 211,Community_NonDual_Aged,0.879,0.879,Respirator Dependence/Tracheostomy Status/Complications
HCC 212,Community_NonDual_Aged,0.37,0.37,Respiratory Arrest
HCC 213,Community_NonDual_Aged,0.37,0.37,Cardio-Respiratory Failure and Shock
HCC 22,Community_NonDual_Aged,0.363,0.363,"Bladder, Colorectal, and Other Cancers"
HCC 221,Community_NonDual_Aged,1.053,1.053,Heart Transplant Status/Complications
HCC 222,Community_NonDual_Aged,2.505,2.505,End-Stage Heart Failure
HCC 223,Community_NonDual_Aged,2.505,2.505,Heart Failure with Heart Assist Device/Artificial Heart
HCC 224,Community_NonDual_Aged,0.36,0.36,Acute on Chronic Heart Failure
HCC 225,Community_NonDual_Aged,0.36,0.36,Acute Heart Failure (Excludes Acute on Chronic)
HCC 226,Community_NonDual_Aged,0.36,0.36,"Heart Failure, Except End-Stage and Acute"
HCC 227,Community_NonDual_Aged,0.189,0.189,Cardiomyopathy/Myocarditis
HCC 228,Community_NonDual_Aged,0.252,0.252,Acute Myocardial Infarction
HCC 229,Community_NonDual_Aged,0.24,0.24,Unstable Angina and Other Acute Ischemic Heart Disease
HCC 23,Community_NonDual_Aged,0.186,0.186,"Prostate, Breast, and Other Cancers and Tumors"
HCC 238,Community_NonDual_Aged,0.299,0.299,Specified Heart Arrhythmias
HCC 248,Community_NonDual_Aged,0.239,0.239,Intracranial Hemorrhage
HCC 249,Community_NonDual_Aged,0.239,0.239,Ischemic or Unspecified Stroke
HCC 253,Community_NonDual_Aged,0.387,0.387,Hemiplegia/Hemiparesis
HCC 254,Community_NonDual_Aged,0.321,0.321,"Monoplegia, Other Paralytic Syndromes"
HCC 263,Community_NonDual_Aged,1.118,1.118,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene
HCC 264,Community_NonDual_Aged,0.455,0.455,Vascular Disease with Complications
HCC 267,Community_NonDual_Aged,0.294,0.294,Deep Vein Thrombosis and Pulmonary Embolism
HCC 276,Community_NonDual_Aged,2.531,2.531,Lung Transplant Status/Complications
HCC 277,Community_NonDual_Aged,0.998,0.998,Cystic Fibrosis
